title,genres,rate,picture,rate,summary,country,評論1,評論2,評論3,評論4,評論5
雙面情人 ,劇情、喜劇、愛情,7.4,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1079337390.jpg,05/01/1998,"身為公關經理的海倫（Gwyneth Paltrow 飾）卻在某天早上遭遇了失業的打擊，她滿懷失落地走向地鐵，命運就在滑動門的左右發生變化。
                                    
                                　　趕上地鐵的海倫回到家發現男友的姦情，使得勞燕分飛。為了迎接新的生活，海倫改變了髮型，在電梯間邂逅了富有魅力的男子詹姆斯（John Hannah 飾）。新的戀情悄然開始……
                                    
                                　　錯過地鐵的海倫也錯過了男友與情人歡愉的場面，他們的戀情仍在繼續。男友小心周旋在兩個女人之間，卻難免有敗露的一天……
                                    
                                　　滑動門機械地一開一關，命運隨之悄然改變。",英國 / 美國,當年格溫妮絲·帕特諾為了這部電影拒絕了《泰坦尼克號》的rose一角。之後迅速拿到奧斯卡，和布拉德·皮特、本·阿弗萊克一眾帥哥耍朋友，與好朋友麥當娜如膠似漆又反目成仇。反正是一顆碩大的流星  咻~~,John Hannah明明超級可愛啊為什麼都要講他醜！！！早一步晚一步或天堂或地獄，然而命理之中的註定，即使兜兜轉轉，也總會遇見。小格局的平行宇宙想法很棒，可惜細節還不夠精緻。,youku 英語繁字 1520 外公家 http://movie.douban.com/review/3377769/,真不明白這雙面情人的譯名，和電影有毛關係。港臺的生搬硬套聯想式電影譯名一向是不敢恭維，相比之下還是更喜歡大陸的直譯法，就#滑動門#，挺好。電影說，塞翁失馬焉知非福，別隨便得意別隨便失意，活在當下珍惜眼前才是王道啊！,2位男主都沒法看的那種 只靠女主撐著看完。 What Ever Will Be Will Be 和79年電影 Heaven Can Wait 相似！
母親與陌生人 ,劇情、戰爭,7.9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2410455572.jpg,11/13/2016,第二次世界大戰期間的北愛爾蘭鄉村，4000名美國軍人空降小鎮Moybeg，打破了當地平靜的生活。英國女人Rose和她的愛爾蘭丈夫、三個孩子一起住在那裡，但她因為一口英格蘭口音和行事方式，常常被認為是住在當地的“陌生人”。美國軍人來到這裡後，與鄰里有所疏遠的Rose在當地人和空軍基地之間扮演著和平維護者的角色，而她與年輕帥氣的美國Dreyfuss上尉也逐漸彼此吸引。故事的每一集都讓他們走得更近，Rose會為了這份禁忌之愛而冒險嗎？,英國,小村裡一精力過剩的中年女文青一看到俊俏美國大兵就想撲倒，自知此舉會毀掉辛苦建立的一切，依然心有不甘，在糾結中越陷越深，劇末那場助攻雨就像決堤洪水衝破大壩衝倒這對偷情男女的心理防線，任情慾把理智侵吞。比廊橋遺夢真實，女演員把激烈的思想鬥爭被情慾迷眼的失態透過各種小細節表現得淋漓盡致,並不是說劇情多精彩，這種情趣是我喜歡的，是真的很喜歡這種娓娓道來的故事，和英式鄉村風情,一直喜歡看家庭劇，特別是一個端莊成熟有文化的女性加持一個家庭的時候。也許是我的母親沒有給過我精神上的指引，她一直是個情緒化的人，和我父親一樣，突然在歡笑間就可以變臉。這幾年喜歡上了看各種小說，得到了很多慰藉，也釋然了……像我們那種小地方，也只能這樣子。希望有一天我也能全力愛一個人,這是一部講婚姻出軌的故事，問題在於並不文藝，而婊裡婊氣。給女主的丈夫點蠟燭！看完後，就刪除了，後悔看一部這樣的作品。女主的大女兒也不咋地，當她為暗戀她的小夥伴出頭時，她居然是因為小夥伴只屬於他，天，這一家門三觀很有問題！然後女主還指責丈夫。後悔啊！打著二戰的題材，吸引我看了！,劇情很緊湊，結束的有點突兀，但畫面和配樂都很美。英倫復古，軍官實在太迷人。不太明白探討的主題是什麼，是人無論如何都會遵從自己的心嗎？母親這麼多年都安於做一個好妻子和好母親，為人正直坦蕩，喜愛文學，務實又富有情趣。一朝失控，這些東西難道就不存在了嗎？動仄貫之以婊的人，不知道他們在生活裡是否如此，在面對如此誘惑和考驗的時候他們都堅定的用自己高尚的品德經受住了！
你的名字 ,愛情、奇幻,6.6,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2890285200.jpg,2028,"據日媒、美媒官方訊息，新海誠《你的名字。》改編權已被派拉蒙和壞機器人制片公司買下，兩家公司將聯手日本東寶株式會社把這部風靡全球的動畫電影翻拍成好萊塢真人版。
                                    
                                　　真人版電影將由《降臨》編劇埃裡克·海瑟爾為其撰寫劇本，J·J·艾布拉姆斯以及動畫電影版製片人川村元氣也會同時參與制作。",美國 / 日本,巨石強森演男主？！我有些方。。。,強森演男一號？？？？這個節奏。。女一莫非是史泰龍？？還是州長？？還是泰森？？奧尼爾？？？,《君の光頭》演員表：宮水三葉（上白石萌音 飾）立花瀧（神木隆之介 飾）神秘彗星（道恩·強森 飾）,等等，巨石強森演男主……！？女主看一眼他那體格就能想起來君の名字了,巨石強森跟女主互換了身體，摸了一下胸發現還沒有自己的大
完美約會物件 ,喜劇、愛情,6,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2551869295.jpg,04/12/2019,布魯克斯 (諾亞·琴蒂內奧飾) 巧妙地為大學籌集資金，他開發了一款約會應用。在這款應用中，他為你能想象到的每一種情況都扮演著“替身”男友的角色。透過一週中每晚做一個不同的人的旅程，他發現真正的布魯克斯根本不是他想的那樣，令他驚訝的是，他愛上了他夢想中的真正的女孩。,美國,"Life is too hard, this movie makes me wanna dance and love.",啊哈哈哈哈noah真的要被痴迷少女romcom的新好萊塢給榨乾了,我就喜歡看帥哥美女歷經誤會終於發現對方是真愛然後在一起的故事 怎樣？！/劇情還真是有夠簡單 大家在一起得也很直白,居然覺得還不錯，劇情和設定意料之中的不掩飾的幼稚，但臺詞和表演都很流暢，cheesy 加點生硬地摻了點當代議題稍微反了下刻板印象講了個平庸但娛樂性的校園故事，有點低配版《愛你，西蒙》的感覺。不過作為高考國寒窗苦讀出來的學子，看到你們這些 privileged kids 為了莫名其妙天真無意義的自我實現浪費了分數和機會放棄名校就氣到想捶地。另外女主長得太像我媽給我設立的假想敵表姐，以至於我無法入戲。,高中生找尋自我，透過app提供陪伴服務，順便談個戀愛。
因為你愛過我 ,劇情、愛情,7.8,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2192500564.jpg,03/01/1996,"塔莉（米歇爾·菲佛 Michelle Pfeiffer 飾）是個平凡的女侍應，但她心裡一直有個當播音員的夢想。她多麼想她的夢想能夠實現，於是她把自己曾經的拉拉隊表演的錄影帶寄到電視臺，她本以為對方不會對她感興趣的，但仍願意嘗試。
                                    
                                　　事情卻超乎了她的想象，她不僅得到了電視臺的錄用，並得到資深記者沃倫（羅伯特·雷德福 Robert Redford 飾）的指導。第一次播報天氣新聞的時候塔莉表現得不如人意，但她得到了沃倫的鼓勵，而且非常用心得向沃倫學習。終於，兩人在多時相處的時光中，愛上了彼此。塔莉對記者這份工作慢慢的上手了，她得到沃倫的幫助，事業發展得十分順利。但世事難料，結婚後的沃倫到了巴拿馬，卻在採訪中不幸中槍……",美國,最後她獲獎時得知他已被炸死的訊息，太賺眼淚了。,這就是我想要的愛情，亦師亦友，互相扶持，互相關愛，分享生活，一起成為更好的人,除了愛情部分，其實暴露了圈子裡的潛規則，外貌。機會。努力？對於拋頭露面的行業恐怕機會高於一切。有提攜的人，之後出名了，是留下還是尋求夢想？打壓新人及同行。夫妻藝人，先入行提攜後入行，後來者居上也不在少數。,"What we in the news business must never forget is, we are only as good as the stories we tell. 片尾曲《Because you love me》很經典。","pan.baidu.com/s/1bo8yXGV 密nutg
地方數字影院擼過。3.5，點到即止的浪漫愛情+理想主義，純真自然+小煽情"
戀愛關係 ,喜劇,5.9,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2539314802.jpg,04/20/2018,艾瑪·羅伯茨與邁克爾·安格拉諾([功夫之王])將合作新片[戀愛關係](In A Relationship，暫譯)。電影將由山姆·博伊德自編自導，講述兩對完全不一樣的情侶關係。一對才戀愛了6天，一對則努力為5年的關係注入新的生命。影片將對當代愛情灰色地帶以及我們同最親近人之間關係的探討。,美國 / 美國,Emma是怎麼挑中這片的？是因為裡面有親到女孩子嗎？,稀爛愚蠢青春 不過女孩子們身材都很好也很會穿,我身上僅存的一點小清新體現在只要有Emma roberts的電影就一定要看,看艾瑪。,花一個半小時來說戀愛關係，但真的沒有一個鏡頭是說了的。
新婚告急 ,喜劇、愛情,6.3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1376949810.jpg,01/10/2003,莎拉（布萊特妮•墨菲 Brittany Murphy 飾）出身豪門，天生叛逆的她從來不想接受父母的安排：家人安排的高薪厚職她不屑一顧，反而當起了一名作家；對於他們安排的富有的“未來女婿”，她更是深惡痛絕。這天，莎拉偶遇了出身平凡的交通報道員湯姆（艾什頓•庫徹 Ashton Kutcher 飾），兩人很快墮入了愛河。然而莎拉的父母堅決反對，原因很簡單，湯姆出身平民，平平無奇，這和他們心目中的乘龍快婿相去甚遠，他們可不想這個平凡的男人成為家裡的一份子。於是，在薩拉和湯姆婚後度蜜月時，一場旨在拆散這對小夫妻的鬧劇上演了。加上兩人出身的文化差異，薩拉和湯姆能否在新婚告急時共渡難關？,美國 / 德國,祝可愛女主在天堂幸福,3.5。。女的就這麼掛了，男的就這麼歸老女人了。。哎,什麼都不看，只看阿什頓，也絕對絕對值三星了，我決定去腦補他所有的電影。,年輕時的庫徹好像德切利，跑起來的樣子都像。墨菲倒是一如既往。若干段子不錯。,Brittany Murphy + Ashton Kutcher 也就看倆主演
似曾相識 ,喜劇、愛情,6.6,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2488818717.jpg,06/07/2001,"簡（艾什莉·賈德 Ashley Judd 飾）是一個成功的脫口秀欄目製片人，在事業蒸蒸日上的同時，甜蜜的愛情也不期而至。剛剛上任，製片主任雷（格雷戈·金尼爾 Greg Kinnear 飾）就對簡發起了猛烈的甜蜜攻勢。而正當兩人打得火熱準備同居的時候，雷的態度突然發生了奇怪的轉變，在日益冷淡的感情面前，簡選擇了離開。
                                    
                                　　在痛苦中，簡開始思考起雷奇怪的轉變，她發現，在對待感情這碼子事上，男人和動物有著異曲同工之處，她決心進行深入的研究。由於推掉了房子，簡和同事簡好友埃迪（休·傑克曼 Hugh Jackman 飾）住到了一起，同時，埃迪也成為了簡的研究物件。簡憑藉著自己的研究成果開闢了一個匿名專欄，引起了強烈的社會反響，而她和埃迪之間的關係也漸漸變得奇妙起來。",美國,Hugh Jackman的角色就像Justin Long在he's just not that into you裡一樣，但是這部比那部還無聊，兩顆星分別給兩個可人兒……,同是01年，不僅片尾和BJ單身日記一樣，連電影名都借用Van Morrison的經典歌曲。這片沒有任何亮點：劇本不溫不火，片頭丟擲“牛交配”理論幾乎把戀人對立起來並同時惹怒雙方（儘管結尾轉折了），又隨處可見SATC模仿痕跡……然而它那股低姿態，讓我挺喜歡。PS，還是更喜歡拍小雞片時候的休傑克曼,2.5 副標題 失戀好幾十天. 劇情不溫不火沒起伏沒驚喜 Hugh Jackman顏值巔峰時拍的愛情電影 最後那場吻戲相當不講究鏡頭美感.,那個時候挺喜歡Ashley Judd的。Hugh Jackman 還不是那麼出名。,"是為Ashley Judd才看,她不大適合這種的角色~不過片子到14分鐘左右的裙子很特別.—還是老話題：如果我愛你比較多~"
去他*的世界 第二季 ,劇情、喜劇、愛情、冒險,9.2,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2573147295.jpg,11/04/2019,"阿莉莎（傑西卡·巴登飾，《龍蝦》）仍在應對第一季中各種事件帶來的影響。第二季中新增了新人物邦妮，由榮獲英國獨立電影獎 (BIFA) 的娜奧米·阿基（《麥克白夫人》和即將上映的《星球大戰 9：天行者崛起》）飾演。邦妮是一個有著複雜過往的局外人，並與阿莉莎有著神秘的聯絡。
                                        
                                    　　英國編劇查理·科維爾迴歸，為《這個破世界的末日》續寫精彩。本劇改編自查爾斯·福斯曼榮獲獎項的同名漫畫書系列。原創歌曲和配樂將再次由格拉翰姆·考可森操刀。英國導演露西·福布斯（《In My Skin》）和德斯蒂尼·埃卡拉戛（《得寸進尺》）分別執導了第一部分和第二部分。
                                        
                                    　　該劇集由 Clerkenwell Films 和 Dominic Buchanan Productions 製作。由默裡·弗格森、埃德·麥克唐納、安迪·貝克、多米尼克·布坎南、喬納森·恩特威斯爾和查理·科維爾擔任監製，珍妮...",英國,"最初詹姆斯在等一個謀殺她的時機，後來詹姆斯在等一個說愛她的時機。
經歷那麼多事情之後，詹姆斯也不再那麼變態，艾麗莎也不再那麼叛逆。
倆人互相瞭解，互相安慰，在這個操蛋的世界彼此守護著對方。“I love you too” ，《去他媽的世界》就到此為止吧。
不能見艾麗莎，知道她要和別人結婚，一直躲在背後默默關注；父子關係終於有好轉，然而父親卻突發心臟病死去；一直抱著父親的骨灰罈…詹姆斯這季出場時太讓人心疼了。
比起第一季感覺要差一點，看完沒了第一季那種刺激爽快感。少了些喪，總體上多了溫情，變成兩人的情感和自我成長認知、和解、救贖。但我依舊愛這部又浪又喪而且還有點甜的劇。
PS：“那是一個恰到好處的結局，一個命中註定會失敗的愛情故事。一個完美的悲劇，然而我沒有死。”詹姆斯這回歸臺詞簡直太優秀了。",“你不能親了別人 又對他不好”,"“我原本拿著一把刀，可遇見你之後我手裡捧著一簇小黃花。”
哪裡還有比James更甜的男孩子",James是我會愛上的那個男孩,更新了就看看吧，這種劇越來越多了，致命女人也是一樣的問題，歸納為剪輯帶節奏，節奏帶劇情，快消劇
上帝之國 ,劇情、愛情、同性,8.4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2510209986.jpg,01/23/2017,"約翰尼（喬什·奧康納 Josh O'Connor 飾）是一位24歲的青年，和父親馬丁（伊恩·哈特 Ian Hart 飾）、祖母戴德利（蓋瑪·瓊斯 Gemma Jones 飾）過著相依為命的日子。約翰尼家中經營著一間農場，因為父親中風癱瘓，所以農場裡大大小小的事情都要約翰尼來完成。
                                    
                                　　約翰尼有一個秘密，他是一名同性戀者，為了保守這個秘密，約翰尼不斷的壓抑自己的情感，積攢了非常多的壓力。一天，一個名叫格奧爾基（亞力克·塞克雷亞努 Alec Secareanu 飾）的工人來到農場做幫手，這個年長的男人教會了約翰尼很多事情，隨著時間的推移，約翰尼和格奧爾基之間的關係越來越親密起來。",英國,這樣外剛內柔做事認真的gypsy麻煩給我來一打,喜歡這個故事！愛就像一道光照亮他的世界，哪怕這道光離開，他也會努力的把它追回來。一個超級傑克蘇的主題被導演加入真實的農牧生活，拍得自然而樸素。你可以說它是英國版的斷背山，但比斷背山要甜一百倍：畢竟時代不同了，甜，是理所當然~,4 導演肯定把斷背山刷了千萬遍，荒野間兩位牧羊漢子的互動全然照搬斷背山的橋段，還不停加戲，發糖發到少女心如烈風中的乾草般熊熊燃燒，誰能想到兩位農場牛糞黑泥裡摸爬滾打的年輕男人之間的愛情竟會如此甜蜜，以至於連斷背山上的夙願最終也在他們的故事中得到實現。同志單身狗絕佳續命片。,腐國男子吸引技術移民振興傳統農業,你知道如何套上羊皮把小羊救活，如何用茶杯布做乳酪和煎蛋，如何說羅馬尼亞的農場綿羊和公雞。在你面前我蠢得像頭牛，不知道如何用唾液治癒傷口，如何用殺菌劑照顧羊群，也不知道如何去愛。這山下風景，蕭條農場，酗酒人生，我也能活。但是沒了癒合傷口的唾液、空心粉上的鹽，沒了萬能的你，我不能活。
藍莓之夜 ,劇情、愛情,7.7,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2237042966.jpg,12/22/2007,伊麗莎白（諾拉•瓊斯飾）被男友拋棄，傷心又苦惱的她把鑰匙扔在咖啡店裡。咖啡店的老闆傑瑞米（裘德•洛飾）儲存了很多鑰匙，每把鑰匙都埋藏了一個傷心的故事。伊麗莎白愛吃店裡沒人點的藍莓蛋糕，在某一晚決定離開紐約，穿越美國到處看看。在旅途上認識了明明深愛卻困囿彼此的分居夫婦，還有豪爽愛賭卻鮮回家看望父親的少女（娜塔莉•波曼飾），每到一個地方她就給傑瑞米寫一張明信片。以他人為鏡，伊麗莎白找到了愛的真諦，回到紐約，看見等待自己的傑瑞米，可以幸福地，再吃一客藍莓蛋糕，放心享受愛的歡愉。,美國 / 法國 / 中國大陸 / 中國香港,How do you say goodbye to someone you can't imagine living without? I didn't say goodbye. I didn't say anything. I just walked away.,"王家衛的慢鏡頭太高階了，完美的爵士感。
美國人應該找他去拍《了不起的蓋茨比》，墨鏡知道什麼是夢幻和疏離，很適合營造菲茨傑拉德所處的爵士時代。而且，他很善於讓明星氣場與電影畫面和諧一致。
像李安，他就很適合拍簡奧斯丁。中西之間有一條河，王家衛和李安這樣的能做擺渡人。",終於把這部期待已久的片子看掉。。。要做Lizzie一樣的女孩,看王家衛拍外國人真是件好玩的事，恍惚間覺得像是海外版的重慶森林。尤其是結尾那句，其實要過一條馬路並不難，最重要是誰在對面等你。愛死kawai了！,把亞洲人的感性小情緒套在美國人身上好像有些彆扭。
禁慾40天 ,劇情、喜劇、愛情,6.3,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1550404481.jpg,03/01/2002,"對於甜蜜的戀愛，馬特（喬什·哈奈特 Josh Hartnett 飾）也曾有過夢幻的憧憬，而屢屢遭遇的失敗愛情卻讓他對女人這種難纏又奇怪的生物徹底的死了心。在又一次殘酷被甩之後，悲痛欲絕的馬特做出了一個對於所有男人來說都無比沉重的決定——禁慾40天。在這不近女色的40天中，馬特希望自己能潛心修煉，最終成為一個無欲則剛的優秀青年。
                                    
                                　　而就在禁慾的生活讓馬特覺得神清氣爽的時候，那個名叫艾瑞卡（莎妮·索薩蒙 Shannyn Sossamon 飾）的美麗女孩來到了他的身邊。雖然被艾瑞卡迷得神魂顛倒，但馬特並沒有忘記自己最初的誓言，更何況自己的周圍有一群損友都在等著看自己的笑話。扳著手指頭，馬特覺得時間似乎走得越來越慢。",法國 / 英國 / 美國,我也有一個很三俗的問題：男人40天不做任何跟sex有關的事情，真的有那麼難麼？,把男人和女人的那事都描寫得太誇張了，美國真的那麼奔放嗎？沒去過，美國派應該不是主流吧 ~~,josh可愛死了~~~~,看到簡介甚至只是海報你也就會知道自己面對的是一部怎樣的電影了。你非常清楚自己想從這樣的電影裡獲得什麼。想打2星吧我也不至於那麼厭惡，就是很一般很無所謂的電影罷了。女豬是moonlight裡男豬的前妻。,男主角很帥，有點查寧·塔圖姆感覺。洗衣店玻璃上是中文。http://v.pps.tv/play_32B40Q.html
沉睡魔咒 ,奇幻、冒險,7.4,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173730406.jpg,06/20/2014,"在寧靜祥和的摩爾王國，廣袤的大森林中，動物與精靈和諧相處，無憂無慮。那一年，天真無邪的小仙女瑪琳菲森（伊莎貝爾·莫洛伊 Isobelle Molloy 飾）邂逅了人類小男孩斯特凡（邁克爾·希金斯 Michael Higgins 飾）。他們兩小無猜，成為親密無間的好朋友， 更在萬物的守護下墜入愛河。但是隨著年齡的增長，斯特凡（沙爾託·科普雷 Sharlto Copley 飾）褪去了往日的純真，被人類的貪慾所吸引。而瑪琳菲森（安吉麗娜·朱莉 Angelina Jolie 飾）則成長為法術強大的仙女。愚蠢的人類向摩爾王國開戰，斯特凡為了成為王位繼承者，殘忍地割下了瑪琳菲森的翅膀。
                                    
                                　　肉體的痛苦和心靈的創傷，讓瑪琳菲森變成了滿懷仇恨的冷酷魔女，為了復仇她給斯特凡的女兒愛洛公主（艾麗·範寧 Elle Fanning 飾）施下了沉睡魔咒……",美國 / 英國,這部電影告訴我們，爹媽都沒後媽親，異性戀裡沒真愛。,港版3D。Jolie真的很適合這樣亦正亦邪口是心非的御姐角色。但是除此之外，小公主演技做作，整部片子極其片段化。編劇腦洞大開，很懷疑是不是愛逛天涯的腐國人。該片可以改叫“相識多年，看我如何虐死渣男”或者“愛上前男友女兒，我該何去何從”。,看了很多電影，其中發現個有趣細節：若酷酷的美女從九天翱翔而下，西方國王一般會劍指暴喝：王者豈能聽命精靈。。。但是換作東方君主，一干人等皆翻身拜倒，恭敬激動地高呼：仙姑，仙姑，請受弟子一拜，請仙姑賜下長生之術。。。,你跟小偷搞兩小無猜，翅膀丟了是不是活該。#鳳凰男最欠扁#,朱莉那顴骨可以削死人。打了個超級大醬油、還從頭到尾傻笑的王子，讓我把你吻成睡美人...
愛你，羅茜 ,喜劇、愛情,7.5,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2190768432.jpg,10/22/2014,"《親愛的，原來是你》(Love, Rosie)改編自全球破億經典愛情電影《留給最愛的情書》(PS, I Love You)原著小說作家Cecelia Ahern另一幽默感人作品《Where Rainbows End》。由基斯頓迪他(Christian Ditter)執導，《魔鏡•魔鏡:白雪公主決戰黑心皇后》莉莉歌蓮絲(Lily Collins)及《飢餓遊戲》系列森加芬(Sam Claflin)主演。故事講述青梅竹馬的二人，一同成長面對大世界，一直處於「友達以上，戀人未滿」的狀態，卻各自遇到戀愛上的酸甜苦辣，直到最後發現，最愛的原來就是對方。二人首次合作即默契十足，火花閃耀大銀幕。為今個聖誕，帶來最觸動人心、最浪漫感人的愛情喜劇。",德國 / 英國,女主美 女主真美 女主美的不像話！括弧 我是女生，都會覺得她很美！,友達之上，戀人未滿的兩個人當中，肯定有一個人是真瘋子，而另一個在裝傻子。,有一幕很帥：Rosie跑去美國罵男主，當時覺得這片把美國精神諷得好妙。,看到改編自Cecelia Ahern的小說，想想她的前作，就知道不用抱太大希望，就是一個狗血的愛情故事，青梅竹馬的情侶不斷的作死，然後各種狗血的情節也就跟著來了，這樣庸俗的故事創意和橋段說它像哪部經典愛情電影都是在誇它。這片子的觀感確實不錯，因為主角們很積極，沒有半點消極情緒。★★★,好幾次眼淚落下。一個成長的青春故事。人生的一個選擇其實會導致很多的變化。但是，是你的，終將會是你的。Better late than never~  （PS:這兩個人顏值爆棚啊！）真正讓我喜愛這部電影的原因——多少Rosie能真正最終和自己的Alex一起呢？
隨愛沉淪 ,喜劇、愛情,6.8,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p949855110.jpg,05/16/2003,"剴切（伊萬·麥克格雷格 Ewan McGregor 飾）是一名記者，在職場上叱吒風雲的他憑藉著出色的外表和圓滑的社交手段贏得了不少女性的愛慕，同時他也十分享受在各式美女之間輾轉徘徊的快感。芭芭拉（芮妮·齊薇格 Renée Zellweger 飾）是一個標準的女權主義者，她剛剛出版的新書《隨愛沉淪》更是強調了女性在愛情中的主宰地位，而在1963年的紐約，這樣一種呼聲是十分新潮而又大膽的。
                                    
                                　　一次偶然中，剴切和芭芭拉相遇了，這兩個各自行業內的翹楚一經相識立刻碰撞出了激烈的火花，在不同觀點的碰撞中，他們都誓死捍衛自己的話語權，同時，在針鋒相對之間，一種奇妙的感情在這一對性格迥異的男女之間產生了。",美國 / 德國,復古六十年代風格，本以為是那種俗套的小愛情故事，沒想到有劇情，還養眼。Ewan飾演的花花公子，迷人，還有他眼裡的溫柔，拒絕難啊。畫面、節奏、服裝、音樂，看得人神清氣爽，結尾的那段小歌舞也不錯，Ewan又唱又跳，他真是適合蹦蹦跳跳,這種retro chick-flick的第一標準就是養眼，芮妮的騷勁絕對是天生的，湯唯該多學著點。伊萬又跳又唱又賣肉又賣萌，100%的sexually arousing......結局小意外，被那個“15英寸長，撐著別軟下來”戳爆HHP了哈哈哈哈哈哈哈哈哈,renee姐姐你能不噘你那小肥腸嘴嗎，這樣顯得你的臉頰很腫。再加上你說話天啊，我都有點難受了，怎麼那麼做作。ewan這裡的表現太花花公子了。哈哈，音樂很贊幾乎都是JAZZ,的確武裝得像六十年代，伊萬的發音都那麼正，故事全憑伊萬個人魅力撐著,完全是10年前年輕的ewan風騷賣萌個人秀，尤其是模仿南方口音和片尾跳舞那兩段。 至於Renée大姐，她的失敗是選了個比她搶眼N倍的年下妖孽受配戲。 不過如果選擇無視她的香腸嘴大腫臉做作的裹腳布唸白， 華麗的60年代服飾和身材還有最後的歌舞還是很搶眼。
紐約的一個雨天 ,喜劇、愛情,7.3,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2868674760.jpg,02/25/2022,"蓋茨比（提莫西·查拉梅 Timothée Chalamet 飾）和艾什莉（艾麗·範寧 Elle Fanning 飾）是一對年輕的情侶，蓋茨比渾身散發著文藝氣息，對浪漫有著無限的嚮往和幻想，艾什莉則野心勃勃，一心想要在影視界裡打拼出一片屬於自己的天地。
                                    
                                　　某個週末，兩人相約前往曼哈頓度假，在那裡，艾什莉意外遇見了自己摯愛的導演羅蘭（列維·施瑞博爾 Liev Schreiber 飾）和編劇泰德（裘德·洛 Jude Law 飾），更由此得到了和大明星弗朗斯西科（迭戈·魯納 Diego Luna 飾）獨處的機會。那邊廂，蓋茨比在充當群眾演員的過程中邂逅了名為茜（賽琳娜·戈麥斯 Selena Gomez 飾）的女孩，一個半真半假的法式熱吻點燃了蓋茨比心裡激情的火焰。",美國,中傳校報女記者採訪王小帥，竟被吳秀波誘拐回家。東城區富二代甩雲南女友，因喜愛霧霾勝過藍天白雲。,範寧演活了晚晚，說話那個表情姿態太像了,老爺子近年作品浪漫之最～本來覺得甜茶的顏too sweet too cute for老爺子這些神神叨叨的男主角，但這集男主的“古怪”少了猥瑣添了浪漫，甜茶的演繹更讓角色魅力翻倍無數。人生最大的浪漫，就是和那個真正能聽懂你笑話，看懂你眼裡的光的人在默契的時刻出現在同一地點，心照不宣地開啟新世界。配合熟悉的爵士樂和雨中的街景，整個人都被融化了。結束後和頭同學相視讚歎，好的電影真的會令人充滿幸福感啊。祝老爺子長命百歲，希望他能一直拍出這麼可愛的電影。🎬,只需要兩個連續的雨天，就能重塑一段感情。輕巧而慵懶的小布林喬亞情調，沒什麼比伍迪·艾倫拍喜劇更讓人心曠神怡的了。有人喜歡聽蟋蟀鳴唱，有人喜歡聞汽車尾氣，作為一個兩週前才從紐約回來的人表示——我喜歡紐約的雨。,孩兒他娘那段，每一句臺詞，每一個表情，每一個眼神都恰到好處。
羞恥 英國版 ,劇情,8.3,https://img2.doubanio.com/cuphead/movie-static/pics/tv_default_large.png,2022,無簡介,英國,,,,,
